absorbance,pesticide
0.1312,Chloropyrifos
0.0711,Chloropyrifos
0.0941,Chloropyrifos
0.1829,Chloropyrifos
0.2501,Chloropyrifos
0.2158,Chloropyrifos
0.023,Chloropyrifos
0.0382,Chloropyrifos
0.0424,Chloropyrifos
0.3197,Chloropyrifos
0.086,Chloropyrifos
0.1747,Chloropyrifos
0.1744,Chloropyrifos
0.1062,Pendimethalin
1.0011,Pendimethalin
0.3469,Pendimethalin
0.737,Pendimethalin
1.1263,Pendimethalin
0.2344,Pendimethalin
0.2897,Pendimethalin
0.0903,Pendimethalin
0.1985,Pendimethalin
0.1375,Pendimethalin
0.2267,Pendimethalin
0.3027,Pendimethalin
0.5165,Pendimethalin
0.2454,Glyphosate
0.2612,Glyphosate
0.0636,Glyphosate
1.0128,Glyphosate
0.2365,Glyphosate
0.2336,Glyphosate
0.0085,Glyphosate
0.1581,Glyphosate
0.2111,Glyphosate
0.6999,Glyphosate
0.394,Glyphosate
0.8105,Glyphosate
0.3934,Glyphosate
